Date,Change...,y,atr,trueHigh,macd,signal,dn,up,chaikinAD,tdi,di,TRIX
2000-04-26,,0,33.89528628,760.21,-4.641862114,-3.605038191,-694.4062757,-928.285391,-1572191.202,891.15,-2303.24,-0.354880264
2000-04-27,-1.954488734,-1,33.25062298,713.23,-5.104542475,-3.904939048,-680.7484904,-922.4385096,-1722089.116,855.96,-2362.98,-0.381797699
2000-04-28,0.865519384,1,33.38914991,727.26,-5.070877493,-4.138126737,-675.2616751,-909.5029916,-1523159.324,755.4,-2368.77,-0.40657644
2000-05-02,0.878148306,1,33.00921063,753.46,-4.703100418,-4.251121473,-676.3184593,-893.352874,-1341622.02,668.97,-2369.87,-0.426160893
2000-05-03,-0.2019692,-1,31.55712415,755.62,-4.359806282,-4.272858435,-676.6649009,-881.1437658,-1242942.065,595.74,-2384.66,-0.44106014
2000-05-04,0.055794676,1,30.41732957,760.99,-4.056879857,-4.22966272,-677.0267487,-870.683918,-1289279.167,495.54,-2384.17,-0.451914004
2000-05-08,1.046200535,1,30.18537746,778.46,-3.573652169,-4.098460609,-677.6039403,-863.8750597,-1260220.677,369.27,-2367.62,-0.457212586
2000-05-09,-0.28952015,-1,28.93070764,771.51,-3.252717757,-3.929312039,-677.1176374,-859.5233626,-1385006.39,333.27,-2410.41,-0.458816292
2000-05-10,-0.458697509,-1,27.64351424,764.64,-2.978182827,-3.739086197,-677.9675721,-851.6834279,-1373473.746,224.52,-2410.09,-0.457387978
2000-05-12,0.43317402,1,27.52183465,763.01,-2.931449314,-3.57755882,-685.5598176,-832.0411824,-1515449.453,219.58,-2482.09,-0.455335857
2000-05-15,-0.417398352,-1,27.03456075,740.3,-2.985823127,-3.459211682,-692.5996686,-812.6316647,-1538198.865,244.6,-2573.62,-0.453717307
2000-05-16,0.059011624,1,26.75066355,746.77,-2.804117753,-3.328192896,-703.4048766,-791.5557901,-1365850.865,349.96,-2698.56,-0.450238937
2000-05-17,0.769982726,1,27.8484733,769.01,-2.838546684,-3.230263653,-708.5381413,-780.1685253,-1581841.113,531.29,-2908.7,-0.447138879
2000-05-18,-2.964878022,-1,27.87215378,727.18,-2.98752899,-3.181716721,-705.9458141,-781.4531859,-1498282.33,887.83,-3096.15,-0.445546211
2000-05-19,-0.115015078,-1,28.37985708,730.71,-2.882428359,-3.121859048,-703.0997485,-781.5122515,-1302332.015,1033.72,-3189.83,-0.442921671
2000-05-22,-2.070673893,-1,29.35986729,730.68,-3.190737703,-3.135634779,-696.8418786,-781.6397881,-1442941.834,1204.8,-3311.96,-0.443373202
2000-05-23,-2.541894999,-1,28.72059105,694.44,-3.53195578,-3.21489898,-687.4535957,-783.440071,-1535637.261,1428.21,-3447.2,-0.447055884
2000-05-24,-1.552018359,-1,29.92483455,689.55,-3.819800097,-3.335879203,-676.8668126,-784.3305208,-1431653.729,1603.49,-3530.93,-0.453266645
2000-05-25,3.220979332,1,30.19020351,708.59,-3.734609539,-3.41562527,-673.4061917,-782.0858083,-1340814.87,1755.42,-3625.49,-0.458268262
2000-05-26,-1.2851486,-1,31.09590326,699.53,-4.107762941,-3.554052804,-664.4736275,-784.2397059,-1691264.87,2056.57,-3841.8,-0.466516237
2000-05-29,-4.455882801,-1,31.66976731,664.27,-4.37113635,-3.717469513,-652.0067155,-788.6892845,-1513633.333,2322.56,-4031.21,-0.476758123
2000-05-30,1.93923132,1,32.0062125,692.31,-4.131318867,-3.800239384,-650.2488143,-789.1501857,-1158553.984,2597.33,-4194.96,-0.484081132
2000-05-31,2.427451321,1,33.53005447,744.6,-3.435173666,-3.72722624,-650.7293745,-789.7966255,-1005325.19,2766.25,-4236.48,-0.484240441
2000-06-01,-0.18172378,-1,32.88219343,746.7,-2.776569045,-3.537094801,-650.8174404,-788.759893,-902002.9721,2448.47,-4018.77,-0.477898586
2000-06-02,2.80707931,1,33.24775105,776.49,-1.982122857,-3.226100412,-650.158321,-790.6270124,-992537.2984,2183.97,-3857.85,-0.463982003
2000-06-05,2.338666211,1,33.63362597,799.34,-0.971874432,-2.775255216,-646.8043256,-797.7930077,-756564.3262,1872.91,-3664.47,-0.440597126
2000-06-07,0.506163357,1,33.39336697,822.98,0.127060286,-2.194792116,-641.5557841,-807.3875492,-277408.2915,1537.26,-3457.09,-0.407116147
2000-06-08,0.367155397,1,34.30384076,842.13,0.734313428,-1.608971007,-636.9165555,-816.9261112,-826973.8984,1217.58,-3275.36,-0.368998753
2000-06-09,0.021247079,1,35.16713785,836.82,1.576274608,-0.971921884,-631.8785793,-828.1564207,-329372.3054,861.37,-3049.53,-0.323937581
2000-06-12,1.75274988,1,34.77519943,858.34,2.301712769,-0.317194953,-624.9337425,-844.8489242,-248936.829,450.26,-2786.76,-0.273430215
2000-06-13,-1.493243163,-1,35.54054233,845.81,2.410038932,0.228251824,-623.9951489,-854.1751844,-574775.915,130.75,-2554.11,-0.224525838
2000-06-14,1.193361924,1,35.06121788,821.13,2.615967489,0.705794957,-623.4048387,-861.9471613,-193123.9473,-210.86,-2272.24,-0.176183124
2000-06-15,-0.567578454,-1,36.02613089,819.27,2.254337367,1.015503439,-624.1861729,-865.6054937,-569427.6481,-374.35,-2114.54,-0.134808845
2000-06-16,-1.474803813,-1,34.97426439,775.26,1.823723283,1.177147408,-627.6617071,-867.3829595,-735294.403,-470.53,-2019.46,-0.100923398
2000-06-19,-1.392548482,-1,34.77824551,777.13,1.427633025,1.227244531,-630.2995601,-868.7547733,-829806.4483,-590.75,-1914.03,-0.073810246
2000-06-20,2.329953136,1,34.43265654,785.32,1.408702423,1.26353611,-635.9187855,-871.0398811,-489035.4483,-723.51,-1780.78,-0.048962131
2000-06-21,1.063260836,1,33.31318108,799.44,1.342159622,1.279260812,-644.956498,-872.4608354,-951131.314,-811.76,-1675.98,-0.026784509
2000-06-22,1.689539182,1,33.300811,804.2,1.278412776,1.279091205,-657.9455651,-871.1061016,-1071369.625,-997.52,-1533.01,-0.007094874
2000-06-23,-1.286050317,-1,31.91861021,782.24,1.180003206,1.259273605,-666.2730266,-870.5409734,-809522.6254,-1124.74,-1405.47,0.009872038
2000-06-26,0.42878784,1,30.7779952,794.89,1.218487961,1.251116476,-682.8252982,-865.9690351,-646361.7299,-1396.93,-1205.28,0.025807491
2000-06-27,1.01446529,1,29.94742411,810.7,1.420836202,1.285060421,-710.4218724,-854.0651276,-231570.4976,-1727.7,-966.04,0.042625318
2000-06-28,0.070381666,1,28.89189382,822.04,1.650940219,1.358236381,-731.5326752,-846.1349915,50292.62369,-2069.12,-749.56,0.060626371
2000-06-29,1.204304227,1,28.46175855,830.8,1.811743415,1.448937788,-741.915782,-844.8555513,36508.4947,-2494.69,-476.51,0.078995617
2000-06-30,-0.472585175,-1,27.22163294,823.36,1.938401533,1.546830537,-752.2908322,-842.7941678,320904.3379,-2946.51,-191.24,0.097345415
2000-07-03,0.439589878,1,26.37080201,836.53,2.152890463,1.668042522,-756.3723428,-845.6796572,662234.0303,-3187.88,43.55,0.116693495
2000-07-04,0.597454532,1,26.13360187,841.52,2.128615404,1.760157098,-757.1236519,-848.4780147,225379.2307,-3028.26,325.3,0.134268965
2000-07-05,-0.01588213,-1,25.71691602,830.4,2.201742331,1.848474145,-756.9530179,-849.7376488,757320.2307,-2862.46,626.34,0.151288581
2000-07-06,-0.920038536,-1,25.49927916,840.91,2.303368594,1.939453035,-756.3838635,-852.2584699,1251944.843,-2654.11,918.42,0.168120966
2000-07-07,0.462017836,1,24.67718779,851.62,2.394953538,2.030553135,-754.9842689,-855.9097311,1004653.183,-2468.61,1198.48,0.184671962
2000-07-10,0.696176967,1,23.99238867,856.83,2.531929375,2.130828383,-754.1091735,-857.5391598,948045.3817,-2271,1606.8,0.20149381
2000-07-11,0.551986564,1,24.18364662,863.53,2.466704257,2.198003558,-752.9332503,-861.9547497,98071.38175,-2080.36,1986.85,0.216231905
2000-07-12,0.512630548,1,23.65195757,846.8,2.414778209,2.241358488,-752.6397435,-865.0455899,172271.2396,-1913.86,2281.1,0.229162831
2000-07-13,0.082166333,1,23.1039606,849.03,2.403456707,2.273778132,-754.7421988,-868.6618012,453995.2621,-1772.5,2463.98,0.240871288
2000-07-14,0.218740763,1,23.12796342,850.26,2.195238904,2.258070286,-762.1954689,-868.4341977,123002.6435,-1557.64,2522.67,0.249153781
2000-07-18,-0.682408358,-1,23.06953746,829.19,1.85660993,2.177778215,-771.7091247,-864.6202086,-39155.39684,-1385.25,2560.92,0.252727456
2000-07-19,-0.686912954,-1,23.1895705,812.33,1.42451185,2.027124942,-775.1842912,-863.0120421,-32918.84754,-1306.17,2524.88,0.25084806
2000-07-20,-1.389690204,-1,23.16388689,797.3,0.889441963,1.799588346,-774.0053227,-863.617344,-236257.7236,-1326.3,2419.95,0.242752477
2000-07-21,0.908974194,1,22.82003783,789.85,0.498986366,1.53946795,-773.1096143,-864.0767191,-130164.0854,-1260.47,2369.95,0.23055274
2000-07-24,-2.122442725,-1,24.52432084,783.06,-0.262445291,1.179085302,-765.4187312,-869.0312688,-487948.6969,-1399.61,2182.62,0.210482398
2000-07-25,-1.002859505,-1,24.40115507,743.52,-0.866138793,0.770040483,-752.2279703,-876.7570297,-317230.1074,-1570.84,1965.84,0.184950047
2000-07-26,0.652079605,1,24.46464399,748.61,-1.272270448,0.361578297,-740.670161,-881.6365057,-109792.207,-1672.46,1814.01,0.156590268
2000-07-27,-1.758442676,-1,24.51574085,743.84,-1.745795219,-0.059896406,-727.3194028,-886.0942639,-74440.63289,-1863.78,1595.22,0.124978836
2000-07-28,-2.90237467,-1,25.38390222,727.68,-2.467422588,-0.541401643,-708.7204662,-892.6465338,-277106.1431,-1921.06,1471.36,0.087843849
2000-07-31,-0.909550278,-1,25.5979092,706.73,-2.87678996,-1.008479306,-692.6498422,-896.5241578,-69850.67305,-1898.4,1411.84,0.048960046
2000-08-01,0.577928241,1,25.67662997,727.53,-2.947194788,-1.396222403,-683.3681672,-894.4354995,218492.7577,-1829.11,1380.94,0.012026327
2000-08-02,-0.51987347,-1,25.1861564,733.99,-2.957970076,-1.708571937,-676.3935884,-891.3760782,349374.2361,-1854.94,1289.92,-0.022425271
2000-08-03,0.845770461,1,24.5985738,736.23,-3.001340192,-1.967125588,-670.294009,-887.6983244,175913.0227,-1844.82,1218.5,-0.054854915
2000-08-04,-0.684134722,-1,24.2422471,722.08,-3.133328706,-2.200366212,-663.1886935,-882.6289732,155405.789,-1838.26,1124.87,-0.086267367
2000-08-07,-2.323943662,-1,24.96851517,710,-3.578780353,-2.47604904,-653.3250176,-876.3079824,-62951.21105,-1872.36,1002.09,-0.119856102
2000-08-08,0.093251824,1,24.70862123,686.96,-4.00173524,-2.78118628,-645.0252994,-866.7153672,-263309.8397,-1951.39,825.37,-0.155198382
2000-08-09,1.672471775,1,26.09729114,710.23,-3.806567017,-2.986262427,-643.1973073,-853.891026,32116.16026,-2055.39,644.53,-0.186034829
2000-08-10,0.011263957,1,26.61962749,729.28,-3.400048534,-3.069019649,-645.0131853,-840.0021481,292049.1603,-2144.24,483.12,-0.21054106
2000-08-11,-2.448990785,-1,26.47036838,732.78,-3.120623819,-3.079340483,-650.1455245,-822.7168088,333593.1749,-2243.04,294.71,-0.230356558
