Date,Close,Open,High,Low,Change...,y,Volume,tr,atr,trueHigh,trueLow,DIp,DIn,DX,ADX,macd,signal,sar,vClose,dn,mavg,up,pctB,rsi,fastK,fastD,slowD,williamsAD,aroonUp,aroonDn,oscillator,cci,chaikinAD,cmf,emv,maEMV,tdi,di,TRIX,signal,vhf.close,roc
2000-04-26,713.23,751.89,760.21,712.42,,0,241942,47.79,33.89528628,760.21,712.42,18.18128872,33.92217794,30.210829,24.46242419,-4.641862114,-3.605038191,804.0961521,0.483077899,-694.4062757,-811.3458333,-928.285391,-0.14628807,32.92312809,0.077322148,0.184612837,0.257859066,-457.01,10,65,-55,-105.5662872,-1572191.202,-0.229550432,0.04938167,-19.99094283,891.15,-2303.24,-0.354880264,-0.224450901,0.357544784,-0.033055277
2000-04-27,692.07,699.29,710.7,688.36,-1.954488734,-1,224445,24.87,33.25062298,713.23,688.36,17.20927962,37.28071175,36.83508039,25.34618535,-5.104542475,-3.904939048,795.70606,0.485751971,-680.7484904,-801.5935,-922.4385096,-0.067420421,30.5966798,0.019317886,0.10208475,0.188984401,-478.17,5,100,-95,-128.7932799,-1722089.116,-0.257105098,-36.61373165,-19.8189762,855.96,-2362.98,-0.381797699,-0.239436311,0.373784647,-0.030116842
2000-04-28,725.39,698.06,727.26,698.06,0.865519384,1,228152,35.19,33.38914991,727.26,692.07,19.4578105,34.47239979,27.84077647,25.52437043,-5.070877493,-4.138126737,784.971454,0.497365284,-675.2616751,-792.3823333,-909.5029916,-0.177772474,38.02335435,0.192814371,0.096484802,0.127727463,-444.85,0,95,-95,-94.27392008,-1523159.324,-0.259274575,16.80441109,0.21640247,755.4,-2368.77,-0.40657644,-0.255354418,0.361927695,0.047022335
2000-05-02,752.59,731.76,753.46,729.84,0.878148306,1,195974,28.07,33.00921063,753.46,725.39,23.94801673,32.3772778,14.96532089,24.7701526,-4.703100418,-4.251121473,775.3103086,0.503064474,-676.3184593,-784.8356667,-893.352874,-0.317821519,43.35234184,0.364342844,0.192158367,0.13024264,-417.65,0,90,-90,-52.94856935,-1341622.02,-0.168826961,34.94054313,1.216262545,668.97,-2369.87,-0.426160893,-0.271621701,0.349006708,0.03681115
2000-05-03,752.76,751.07,755.62,742.94,-0.2019692,-1,179779,12.68,31.55712415,755.62,742.94,23.74948434,31.44748695,13.94642211,23.99702899,-4.359806282,-4.272858435,766.6152777,0.502611142,-676.6649009,-778.9043333,-881.1437658,-0.360795719,43.38510698,0.389712557,0.315623257,0.201422142,-407.83,0,85,-85,-41.15882681,-1242942.065,-0.101921319,5.38151842,-0.489847989,595.74,-2384.66,-0.44106014,-0.287758696,0.356320893,0.000225861
2000-05-04,751.29,753.18,760.99,745.39,0.055794676,1,190226,15.6,30.41732957,760.99,745.39,24.14071063,30.29482128,11.3053192,23.0904783,-4.056879857,-4.22966272,760.99,0.499126942,-677.0267487,-773.8553333,-870.683918,-0.390018703,43.15267766,0.492757028,0.415604143,0.307795256,-417.53,20,80,-60,-33.66638267,-1289279.167,-0.087424561,3.20650174,0.398896037,495.54,-2384.17,-0.451914004,-0.303392535,0.366922086,-0.001954723
2000-05-08,770.24,759.15,778.46,759.15,1.046200535,1,195512,27.17,30.18537746,778.46,751.29,26.72395236,28.34605497,2.94552822,21.65155329,-3.573652169,-4.098460609,688.36,0.502581169,-677.6039403,-770.7395,-863.8750597,-0.492182542,47.08800563,0.878635047,0.587034877,0.439420759,-398.58,15,75,-60,-2.536590691,-1260220.677,-0.075532656,15.42236026,1.459261054,369.27,-2367.62,-0.457212586,-0.318042063,0.364364836,0.024910426
2000-05-09,760.85,768.01,771.51,758.89,-0.28952015,-1,181011,12.62,28.93070764,771.51,758.89,25.89086169,27.5266222,3.062219311,20.32374372,-3.252717757,-3.929312039,688.36,0.501223998,-677.1176374,-768.3205,-859.5233626,-0.474943221,45.41048406,0.777873162,0.716421746,0.573020255,-409.24,10,70,-60,-8.598187806,-1385006.39,-0.065269675,-2.513388689,2.363272119,333.27,-2410.41,-0.458816292,-0.331449133,0.37202427,-0.012265925
2000-05-10,759.51,757.36,764.64,753.73,-0.458697509,-1,193571,10.91,27.64351424,764.64,753.73,25.16062592,28.08420695,5.490825814,19.26424958,-2.978182827,-3.739086197,691.964,0.501087779,-677.9675721,-764.8255,-851.6834279,-0.468153934,45.16321683,0.763493937,0.806667382,0.703374668,-414.37,5,65,-60,-11.79791595,-1373473.746,-0.104025688,-3.390159166,3.698604091,224.52,-2410.09,-0.457387978,-0.343443308,0.372786772,-0.001762741
2000-05-12,740.3,762.8,763.01,737.07,0.43317402,1,189058,25.94,27.52183465,763.01,737.07,23.46595733,30.51844271,13.06393212,18.82136976,-2.931449314,-3.57755882,695.42384,0.502751647,-685.5598176,-758.8005,-832.0411824,-0.418029391,41.66096764,0.576470588,0.705945896,0.743011675,-437.08,0,60,-60,-32.31563942,-1515449.453,-0.162461332,-12.54754097,2.29894602,219.58,-2482.09,-0.455335857,-0.354099742,0.363624145,-0.025617979
2000-05-15,728.67,737.21,740.16,719.6,-0.417398352,-1,193276,20.7,27.03456075,740.3,719.6,22.18200418,33.46639119,20.2780097,18.92541547,-2.985823127,-3.459211682,698.7452864,0.49567712,-692.5996686,-752.6156667,-812.6316647,-0.3072264,39.65599671,0.447391787,0.595785437,0.702799572,-448.71,0,55,-55,-75.30792476,-1538198.865,-0.183737166,-21.44547693,3.984307655,244.6,-2573.62,-0.453717307,-0.363587129,0.3355946,-0.015834555
2000-05-16,746.77,729.1,746.77,723.71,0.059011624,1,172348,23.06,26.75066355,746.77,723.71,22.58130987,31.40489789,16.3441523,18.74103953,-2.804117753,-3.328192896,701.9338749,0.49467671,-703.4048766,-747.4803333,-791.5557901,-0.404742904,44.16008618,0.648279689,0.557380688,0.619704007,-425.65,0,50,-50,-33.97188227,-1365850.865,-0.106211838,7.171629494,2.913998588,349.96,-2698.56,-0.450238937,-0.371839682,0.302284531,0.024536285
2000-05-17,727.18,752.52,769.01,726.89,0.769982726,1,219006,42.12,27.8484733,769.01,726.89,25.84729115,28.01088408,4.01720431,17.68933702,-2.838546684,-3.230263653,704.9949199,0.497155654,-708.5381413,-744.3533333,-780.1685253,-0.453557883,40.62569782,0.430854606,0.508842027,0.554002718,-467.48,0,45,-45,-15.53283217,-1581841.113,-0.13816765,24.44431659,1.747751195,531.29,-2908.7,-0.447138879,-0.379011034,0.307196081,-0.0265832
2000-05-18,712.95,705.62,718.72,699,-2.964878022,-1,201440,28.18,27.87215378,727.18,699,23.98003722,33.13716096,16.03216549,17.57096762,-2.98752899,-3.181716721,778.46,0.495773602,-705.9458141,-743.6995,-781.4531859,-0.056650352,38.23201454,0.272918979,0.450684425,0.505635713,-481.71,10,40,-30,-148.1646226,-1498282.33,-0.069608823,-38.26721604,-3.10210819,887.83,-3096.15,-0.445546211,-0.385347718,0.307339212,-0.019762748
2000-05-19,730.68,712.13,730.71,695.73,-0.115015078,-1,196287,34.98,28.37985708,730.71,695.73,24.88683903,30.21886095,9.675989823,17.00704064,-2.882428359,-3.121859048,778.46,0.498000824,-703.0997485,-742.306,-781.5122515,-0.203287115,42.75757523,0.469700333,0.391157973,0.450228142,-446.76,5,35,-30,-95.30714906,-1302332.015,-0.024237337,7.76988797,-2.595065275,1033.72,-3189.83,-0.442921671,-0.390830951,0.306572107,0.024564316
2000-05-22,691.61,715.55,718.3,688.58,-2.070673893,-1,176624,42.1,29.35986729,730.68,688.58,22.33713862,28.86286193,12.7455532,16.70264868,-3.190737703,-3.135634779,775.1508,0.504165532,-696.8418786,-739.2408333,-781.6397881,-0.031307235,36.42440972,0.033711615,0.258776976,0.366873124,-485.83,0,30,-30,-149.9603034,-1442941.834,-0.025049339,-16.4565178,-6.137162838,1204.8,-3311.96,-0.443373202,-0.395834975,0.300504881,-0.054953394
